time,gFx,gFy,gFz,TgF
13:37:54:4160,-0.0816,0.3318,0.9449,1.005
13:37:54:4180,-0.0801,0.3315,0.9510,1.010
13:37:54:4200,-0.0772,0.3315,0.9584,1.017
13:37:54:4230,-0.0770,0.3310,0.9637,1.022
13:37:54:4250,-0.0777,0.3300,0.9684,1.026
13:37:54:4270,-0.0774,0.3288,0.9716,1.029
13:37:54:4300,-0.0777,0.3278,0.9728,1.029
13:37:54:4320,-0.0777,0.3271,0.9743,1.031
13:37:54:4350,-0.0774,0.3271,0.9740,1.030
13:37:54:4370,-0.0794,0.3278,0.9725,1.029
13:37:54:4390,-0.0811,0.3278,0.9694,1.027
13:37:54:4420,-0.0809,0.3276,0.9650,1.022
13:37:54:4450,-0.0794,0.3274,0.9613,1.019
13:37:54:4470,-0.0782,0.3271,0.9559,1.013
13:37:54:4510,-0.0779,0.3278,0.9488,1.007
13:37:54:4520,-0.0779,0.3283,0.9437,1.002
13:37:54:4540,-0.0782,0.3281,0.9398,0.998
13:37:54:4570,-0.0789,0.3276,0.9366,0.995
13:37:54:4590,-0.0789,0.3264,0.9339,0.992
13:37:54:4620,-0.0801,0.3249,0.9322,0.990
13:37:54:4640,-0.0828,0.3252,0.9310,0.990
13:37:54:4670,-0.0853,0.3254,0.9310,0.990
13:37:54:4690,-0.0870,0.3252,0.9322,0.991
13:37:54:4710,-0.0877,0.3259,0.9332,0.992
13:37:54:4740,-0.0889,0.3283,0.9347,0.995
13:37:54:4760,-0.0899,0.3300,0.9361,0.997
13:37:54:4780,-0.0889,0.3303,0.9376,0.998
13:37:54:4810,-0.0882,0.3313,0.9379,0.999
13:37:54:4840,-0.0879,0.3308,0.9374,0.998
13:37:54:4860,-0.0879,0.3286,0.9364,0.996
13:37:54:4880,-0.0889,0.3281,0.9332,0.993
13:37:54:4910,-0.0887,0.3286,0.9310,0.991
13:37:54:4930,-0.0867,0.3286,0.9322,0.992
13:37:54:4960,-0.0845,0.3310,0.9330,0.994
13:37:54:4980,-0.0828,0.3300,0.9317,0.992
13:37:54:5030,-0.0821,0.3264,0.9293,0.988
13:37:54:5030,-0.0831,0.3249,0.9251,0.984
13:37:54:5050,-0.0845,0.3249,0.9205,0.980
13:37:54:5080,-0.0853,0.3266,0.9164,0.977
13:37:54:5100,-0.0848,0.3291,0.9142,0.975
13:37:54:5120,-0.0840,0.3313,0.9149,0.977
13:37:54:5150,-0.0831,0.3310,0.9164,0.978
13:37:54:5170,-0.0818,0.3298,0.9176,0.978
13:37:54:5200,-0.0806,0.3281,0.9188,0.979
13:37:54:5220,-0.0794,0.3259,0.9200,0.979
13:37:54:5250,-0.0784,0.3259,0.9200,0.979
13:37:54:5270,-0.0777,0.3266,0.9186,0.978
13:37:54:5300,-0.0772,0.3256,0.9176,0.977
13:37:54:5320,-0.0765,0.3254,0.9161,0.975
13:37:54:5350,-0.0748,0.3266,0.9171,0.976
13:37:54:5370,-0.0728,0.3281,0.9190,0.979
13:37:54:5390,-0.0721,0.3276,0.9198,0.979
13:37:54:5420,-0.0733,0.3276,0.9190,0.978
13:37:54:5440,-0.0755,0.3288,0.9161,0.976
13:37:54:5460,-0.0762,0.3300,0.9139,0.975
13:37:54:5490,-0.0767,0.3310,0.9120,0.973
13:37:54:5510,-0.0777,0.3330,0.9093,0.971
13:37:54:5540,-0.0789,0.3332,0.9063,0.969
13:37:54:5560,-0.0804,0.3308,0.9054,0.967
13:37:54:5590,-0.0826,0.3305,0.9046,0.967
13:37:54:5610,-0.0843,0.3308,0.9019,0.964
13:37:54:5629,-0.0835,0.3322,0.8988,0.962
13:37:54:5659,-0.0835,0.3344,0.8983,0.962
13:37:54:5689,-0.0826,0.3347,0.8988,0.963
13:37:54:5709,-0.0818,0.3335,0.9000,0.963
13:37:54:5729,-0.0796,0.3327,0.9034,0.966
13:37:54:5760,-0.0767,0.3315,0.9068,0.969
13:37:54:5780,-0.0772,0.3305,0.9095,0.971
13:37:54:5800,-0.0777,0.3296,0.9144,0.975
