time,gFx,gFy,gFz,TgF
13:42:42:4580,-0.1600,0.3682,0.9364,1.019
13:42:42:4590,-0.1578,0.3704,0.9383,1.021
13:42:42:4620,-0.1556,0.3711,0.9361,1.019
13:42:42:4640,-0.1539,0.3718,0.9335,1.017
13:42:42:4660,-0.1546,0.3721,0.9308,1.014
13:42:42:4690,-0.1522,0.3711,0.9283,1.011
13:42:42:4720,-0.1476,0.3704,0.9273,1.009
13:42:42:4740,-0.1410,0.3708,0.9247,1.006
13:42:42:4770,-0.1331,0.3689,0.9193,0.999
13:42:42:4790,-0.1285,0.3682,0.9161,0.996
13:42:42:4810,-0.1258,0.3691,0.9151,0.995
13:42:42:4830,-0.1209,0.3696,0.9132,0.993
13:42:42:4860,-0.1146,0.3713,0.9073,0.987
13:42:42:4880,-0.1112,0.3723,0.9010,0.981
13:42:42:4910,-0.1092,0.3726,0.8985,0.979
13:42:42:4930,-0.1070,0.3747,0.8949,0.976
13:42:42:4960,-0.1055,0.3769,0.8890,0.971
13:42:42:4980,-0.1055,0.3796,0.8812,0.965
13:42:42:5000,-0.1077,0.3823,0.8724,0.959
13:42:42:5030,-0.1102,0.3826,0.8660,0.953
13:42:42:5050,-0.1114,0.3831,0.8616,0.949
13:42:42:5080,-0.1107,0.3840,0.8577,0.946
13:42:42:5100,-0.1075,0.3840,0.8548,0.943
13:42:42:5130,-0.1060,0.3840,0.8492,0.938
13:42:42:5150,-0.1060,0.3840,0.8445,0.934
13:42:42:5170,-0.1036,0.3845,0.8423,0.932
13:42:42:5200,-0.1004,0.3845,0.8416,0.931
13:42:42:5220,-0.0955,0.3860,0.8445,0.933
13:42:42:5250,-0.0897,0.3899,0.8470,0.937
13:42:42:5270,-0.0867,0.3916,0.8494,0.939
13:42:42:5300,-0.0860,0.3894,0.8553,0.944
13:42:42:5320,-0.0867,0.3870,0.8611,0.948
13:42:42:5350,-0.0865,0.3848,0.8675,0.953
13:42:42:5370,-0.0840,0.3833,0.8731,0.957
13:42:42:5390,-0.0818,0.3821,0.8782,0.961
13:42:42:5420,-0.0801,0.3794,0.8861,0.967
13:42:42:5440,-0.0801,0.3760,0.8931,0.972
13:42:42:5470,-0.0806,0.3728,0.8997,0.977
13:42:42:5490,-0.0794,0.3713,0.9066,0.983
13:42:42:5510,-0.0782,0.3718,0.9134,0.989
13:42:42:5540,-0.0777,0.3730,0.9188,0.995
13:42:42:5560,-0.0760,0.3750,0.9227,0.999
13:42:42:5590,-0.0765,0.3762,0.9261,1.003
13:42:42:5610,-0.0796,0.3743,0.9276,1.003
13:42:42:5639,-0.0828,0.3713,0.9271,1.002
13:42:42:5659,-0.0870,0.3689,0.9273,1.002
13:42:42:5679,-0.0916,0.3674,0.9295,1.004
13:42:42:5709,-0.0943,0.3674,0.9276,1.002
13:42:42:5750,-0.0972,0.3682,0.9227,0.998
13:42:42:5760,-0.1004,0.3677,0.9190,0.995
13:42:42:5790,-0.1033,0.3672,0.9154,0.992
13:42:42:5810,-0.1053,0.3679,0.9102,0.987
13:42:42:5830,-0.1072,0.3704,0.9049,0.984
13:42:42:5850,-0.1102,0.3738,0.9010,0.982
13:42:42:5880,-0.1126,0.3745,0.8968,0.978
13:42:42:5930,-0.1143,0.3752,0.8944,0.977
13:42:42:5940,-0.1153,0.3765,0.8924,0.975
13:42:42:5950,-0.1173,0.3738,0.8880,0.971
13:42:42:5980,-0.1156,0.3689,0.8787,0.960
13:42:42:6000,-0.1112,0.3691,0.8621,0.944
13:42:42:6020,-0.1060,0.3787,0.8494,0.936
13:42:42:6050,-0.0982,0.3921,0.8433,0.935
13:42:42:6080,-0.0928,0.4004,0.8401,0.935
13:42:42:6100,-0.0926,0.4026,0.8409,0.937
13:42:42:6120,-0.0965,0.4041,0.8453,0.942
13:42:42:6140,-0.1006,0.4043,0.8509,0.947
13:42:42:6170,-0.1031,0.4006,0.8563,0.951
13:42:42:6200,-0.1075,0.3958,0.8607,0.953
13:42:42:6220,-0.1114,0.3914,0.8636,0.955
13:42:42:6240,-0.1119,0.3904,0.8646,0.955
13:42:42:6270,-0.1112,0.3933,0.8663,0.958
13:42:42:6290,-0.1107,0.3962,0.8709,0.963
13:42:42:6320,-0.1129,0.3999,0.8770,0.970
13:42:42:6340,-0.1151,0.4016,0.8839,0.978
13:42:42:6360,-0.1151,0.3999,0.8890,0.982
13:42:42:6390,-0.1153,0.3997,0.8905,0.983
13:42:42:6410,-0.1168,0.4009,0.8887,0.982
13:42:42:6440,-0.1190,0.4006,0.8875,0.981
13:42:42:6460,-0.1226,0.3989,0.8883,0.981
13:42:42:6480,-0.1280,0.3948,0.8897,0.982
13:42:42:6510,-0.1349,0.3916,0.8880,0.980
13:42:42:6540,-0.1378,0.3923,0.8844,0.977
13:42:42:6560,-0.1366,0.3965,0.8778,0.973
13:42:42:6590,-0.1319,0.4031,0.8707,0.968
13:42:42:6610,-0.1253,0.4109,0.8685,0.969
13:42:42:6630,-0.1248,0.4177,0.8694,0.973
13:42:42:6650,-0.1295,0.4204,0.8687,0.974
13:42:42:6680,-0.1358,0.4204,0.8646,0.971
13:42:42:6700,-0.1417,0.4209,0.8607,0.968
13:42:42:6730,-0.1461,0.4190,0.8555,0.964
13:42:42:6750,-0.1507,0.4153,0.8480,0.956
13:42:42:6810,-0.1529,0.4136,0.8409,0.949
13:42:42:6820,-0.1517,0.4141,0.8335,0.943
13:42:42:6830,-0.1480,0.4153,0.8282,0.938
13:42:42:6850,-0.1422,0.4182,0.8279,0.938
13:42:42:6870,-0.1307,0.4224,0.8330,0.943
13:42:42:6899,-0.1319,0.4192,0.8379,0.946
13:42:42:6929,-0.1390,0.4116,0.8392,0.945
13:42:42:6959,-0.1324,0.4085,0.8414,0.945
13:42:42:6969,-0.1236,0.4055,0.8453,0.946
13:42:42:7000,-0.1136,0.4021,0.8511,0.948
13:42:42:7030,-0.1048,0.3999,0.8597,0.954
13:42:42:7040,-0.1006,0.3975,0.8707,0.962
13:42:42:7080,-0.0997,0.3909,0.8870,0.974
13:42:42:7090,-0.1002,0.3796,0.9073,0.989
13:42:42:7120,-0.1011,0.3691,0.9251,1.001
13:42:42:7140,-0.0977,0.3650,0.9422,1.015
13:42:42:7160,-0.0906,0.3708,0.9572,1.030
13:42:42:7190,-0.0855,0.3835,0.9703,1.047
13:42:42:7210,-0.0840,0.3950,0.9835,1.063
13:42:42:7250,-0.0862,0.4031,0.9931,1.075
13:42:42:7260,-0.0914,0.4050,0.9960,1.079
13:42:42:7280,-0.0950,0.4036,0.9933,1.076
13:42:42:7310,-0.0982,0.4019,0.9872,1.070
13:42:42:7330,-0.1033,0.3994,0.9789,1.062
13:42:42:7360,-0.1102,0.3977,0.9669,1.051
13:42:42:7380,-0.1170,0.3982,0.9493,1.036
13:42:42:7410,-0.1243,0.4031,0.9276,1.019
13:42:42:7440,-0.1314,0.4094,0.9061,1.003
13:42:42:7460,-0.1351,0.4126,0.8875,0.988
13:42:42:7480,-0.1349,0.4153,0.8741,0.977
13:42:42:7500,-0.1346,0.4160,0.8641,0.968
13:42:42:7530,-0.1331,0.4153,0.8553,0.960
13:42:42:7550,-0.1314,0.4141,0.8487,0.953
13:42:42:7580,-0.1300,0.4114,0.8453,0.949
13:42:42:7600,-0.1270,0.4053,0.8426,0.944
13:42:42:7630,-0.1134,0.3875,0.8289,0.922
13:42:42:7650,-0.0906,0.3718,0.8296,0.914
13:42:42:7670,-0.0821,0.3809,0.8641,0.948
13:42:42:7700,-0.0882,0.3989,0.8931,0.982
13:42:42:7730,-0.0970,0.4099,0.9027,0.996
13:42:42:7760,-0.1068,0.4133,0.9139,1.009
13:42:42:7770,-0.1138,0.4068,0.9352,1.026
13:42:42:7800,-0.1114,0.3938,0.9564,1.040
13:42:42:7820,-0.1011,0.3801,0.9652,1.042
13:42:42:7840,-0.0875,0.3721,0.9686,1.041
13:42:42:7870,-0.0706,0.3696,0.9738,1.044
13:42:42:7890,-0.0523,0.3679,0.9791,1.047
13:42:42:7920,-0.0398,0.3674,0.9855,1.053
13:42:42:7950,-0.0327,0.3664,0.9896,1.056
13:42:42:7970,-0.0286,0.3647,0.9909,1.056
13:42:42:7990,-0.0257,0.3642,0.9899,1.055
13:42:42:8010,-0.0232,0.3647,0.9857,1.051
13:42:42:8040,-0.0220,0.3620,0.9826,1.047
13:42:42:8060,-0.0215,0.3596,0.9791,1.043
13:42:42:8090,-0.0200,0.3598,0.9723,1.037
13:42:42:8120,-0.0156,0.3620,0.9613,1.027
13:42:42:8139,-0.0129,0.3642,0.9454,1.013
13:42:42:8159,-0.0132,0.3662,0.9256,0.996
13:42:42:8179,-0.0188,0.3684,0.9054,0.978
13:42:42:8210,-0.0283,0.3711,0.8873,0.962
13:42:42:8230,-0.0369,0.3747,0.8704,0.948
13:42:42:8260,-0.0467,0.3796,0.8545,0.936
13:42:42:8290,-0.0569,0.3835,0.8389,0.924
13:42:42:8310,-0.0672,0.3872,0.8245,0.913
13:42:42:8330,-0.0804,0.3928,0.8142,0.908
13:42:42:8350,-0.0980,0.3972,0.8057,0.904
13:42:42:8380,-0.1148,0.4002,0.7932,0.896
13:42:42:8410,-0.1263,0.4024,0.7839,0.890
13:42:42:8430,-0.1329,0.4026,0.7783,0.886
13:42:42:8450,-0.1361,0.4011,0.7739,0.882
13:42:42:8480,-0.1358,0.4016,0.7783,0.886
13:42:42:8500,-0.1319,0.4016,0.7871,0.893
13:42:42:8530,-0.1261,0.4002,0.7935,0.898
13:42:42:8550,-0.1185,0.3999,0.7984,0.901
13:42:42:8600,-0.1104,0.3989,0.8028,0.903
13:42:42:8610,-0.1050,0.3931,0.8096,0.906
13:42:42:8620,-0.1050,0.3823,0.8147,0.906
13:42:42:8650,-0.1016,0.3696,0.8106,0.897
13:42:42:8670,-0.0955,0.3616,0.8064,0.889
13:42:42:8690,-0.0882,0.3584,0.8074,0.888
13:42:42:8720,-0.0826,0.3564,0.8098,0.889
13:42:42:8760,-0.0840,0.3555,0.8169,0.895
13:42:42:8780,-0.0875,0.3550,0.8213,0.899
13:42:42:8800,-0.0899,0.3545,0.8272,0.904
13:42:42:8820,-0.0887,0.3542,0.8416,0.917
13:42:42:8840,-0.0853,0.3525,0.8580,0.931
13:42:42:8860,-0.0806,0.3471,0.8790,0.948
