time,gFx,gFy,gFz,TgF
13:38:53:7260,0.1539,0.2988,0.9195,0.979
13:38:53:7290,0.1507,0.2932,0.9115,0.969
13:38:53:7310,0.1451,0.2861,0.9110,0.966
13:38:53:7340,0.1370,0.2805,0.9217,0.973
13:38:53:7360,0.1290,0.2751,0.9227,0.971
13:38:53:7390,0.1217,0.2714,0.9261,0.973
13:38:53:7410,0.1143,0.2714,0.9466,0.991
13:38:53:7440,0.1026,0.2731,0.9733,1.016
13:38:53:7460,0.0833,0.2721,0.9936,1.034
13:38:53:7480,0.0684,0.2712,1.0053,1.043
13:38:53:7520,0.0542,0.2709,1.0243,1.061
13:38:53:7530,0.0281,0.2653,1.0507,1.084
13:38:53:7560,-0.0093,0.2524,1.0698,1.099
13:38:53:7580,-0.0540,0.2331,1.0803,1.106
13:38:53:7600,-0.0975,0.2099,1.0854,1.110
13:38:53:7630,-0.1324,0.1945,1.0927,1.118
13:38:53:7650,-0.1542,0.1962,1.1152,1.143
13:38:53:7690,-0.1583,0.2103,1.1274,1.158
13:38:53:7700,-0.1368,0.2311,1.1023,1.135
13:38:53:7720,-0.1141,0.2492,1.0898,1.124
13:38:53:7750,-0.1046,0.2548,1.0927,1.127
13:38:53:7770,-0.0867,0.2658,1.0883,1.124
13:38:53:7790,-0.0738,0.2795,1.0898,1.127
13:38:53:7820,-0.0694,0.2790,1.0925,1.130
13:38:53:7850,-0.0635,0.2812,1.0991,1.136
13:38:53:7870,-0.0623,0.2932,1.1008,1.141
13:38:53:7900,-0.0584,0.3032,1.0859,1.129
13:38:53:7920,-0.0540,0.3078,1.0783,1.123
13:38:53:7940,-0.0586,0.3225,1.0803,1.129
13:38:53:7960,-0.0633,0.3369,1.0783,1.131
13:38:53:7990,-0.0599,0.3300,1.0798,1.131
13:38:53:8020,-0.0572,0.3310,1.0805,1.132
13:38:53:8040,-0.0574,0.3357,1.0788,1.131
13:38:53:8060,-0.0508,0.3325,1.0739,1.125
13:38:53:8090,-0.0371,0.3403,1.0805,1.133
13:38:53:8110,-0.0271,0.3388,1.0903,1.142
13:38:53:8129,-0.0188,0.3281,1.0857,1.134
13:38:53:8159,-0.0020,0.3274,1.0751,1.124
13:38:53:8189,0.0176,0.3318,1.0690,1.119
13:38:53:8210,0.0318,0.3230,1.0664,1.115
13:38:53:8230,0.0442,0.3105,1.0585,1.104
13:38:53:8260,0.0559,0.3044,1.0468,1.092
13:38:53:8280,0.0657,0.3051,1.0395,1.085
13:38:53:8310,0.0716,0.2985,1.0292,1.074
13:38:53:8340,0.0811,0.2914,1.0129,1.057
13:38:53:8350,0.0980,0.2983,0.9984,1.047
13:38:53:8380,0.1114,0.2993,0.9784,1.029
13:38:53:8410,0.1209,0.3005,0.9528,1.006
13:38:53:8430,0.1187,0.2990,0.9229,0.977
13:38:53:8450,0.1175,0.2946,0.8931,0.948
13:38:53:8470,0.1207,0.2851,0.8655,0.919
13:38:53:8510,0.1217,0.2885,0.8350,0.892
13:38:53:8530,0.1261,0.2954,0.8196,0.880
13:38:53:8550,0.1366,0.2966,0.8059,0.870
13:38:53:8570,0.1522,0.3134,0.7817,0.856
13:38:53:8600,0.1598,0.3230,0.7541,0.836
13:38:53:8620,0.1639,0.3254,0.7314,0.817
13:38:53:8650,0.1715,0.3293,0.7251,0.815
13:38:53:8670,0.1759,0.3264,0.7253,0.815
13:38:53:8690,0.1842,0.3269,0.7331,0.824
13:38:53:8720,0.1991,0.3362,0.7444,0.841
13:38:53:8740,0.2120,0.3423,0.7527,0.854
13:38:53:8770,0.2233,0.3452,0.7632,0.867
13:38:53:8790,0.2367,0.3545,0.7781,0.887
13:38:53:8820,0.2480,0.3633,0.7969,0.910
13:38:53:8850,0.2560,0.3684,0.8243,0.938
13:38:53:8860,0.2624,0.3728,0.8607,0.974
13:38:53:8890,0.2690,0.3784,0.9029,1.015
13:38:53:8910,0.2770,0.3909,0.9430,1.058
13:38:53:8940,0.2763,0.3921,0.9745,1.086
13:38:53:8970,0.2673,0.3916,0.9972,1.104
13:38:53:8990,0.2506,0.3987,1.0136,1.118
13:38:53:9020,0.2226,0.4048,1.0212,1.121
13:38:53:9040,0.1849,0.4072,1.0231,1.117
13:38:53:9060,0.1485,0.4097,1.0224,1.111
13:38:53:9080,0.1270,0.4173,1.0187,1.108
13:38:53:9110,0.1182,0.4270,1.0168,1.109
13:38:53:9130,0.1134,0.4353,1.0175,1.112
13:38:53:9150,0.1102,0.4417,1.0199,1.117
13:38:53:9180,0.1102,0.4451,1.0256,1.123
13:38:53:9200,0.1099,0.4449,1.0287,1.126
13:38:53:9230,0.1065,0.4444,1.0292,1.126
13:38:53:9250,0.1021,0.4405,1.0297,1.125
13:38:53:9280,0.0970,0.4336,1.0285,1.120
13:38:53:9300,0.0870,0.4212,1.0307,1.117
13:38:53:9330,0.0765,0.4075,1.0361,1.116
13:38:53:9350,0.0638,0.3928,1.0407,1.114
13:38:53:9380,0.0481,0.3711,1.0424,1.108
13:38:53:9400,0.0342,0.3525,1.0422,1.101
13:38:53:9430,0.0235,0.3386,1.0431,1.097
13:38:53:9450,0.0144,0.3274,1.0424,1.093
13:38:53:9470,0.0049,0.3171,1.0414,1.089
13:38:53:9510,-0.0015,0.3090,1.0373,1.082
13:38:53:9520,-0.0054,0.3034,1.0282,1.072
13:38:53:9560,-0.0068,0.3010,1.0202,1.064
13:38:53:9570,-0.0042,0.3078,1.0155,1.061
13:38:53:9600,0.0046,0.3191,1.0102,1.059
13:38:53:9620,0.0300,0.3335,0.9894,1.045
13:38:53:9640,0.0640,0.3489,0.9620,1.025
13:38:53:9690,0.0923,0.3601,0.9466,1.017
13:38:53:9710,0.1158,0.3728,0.9327,1.011
13:38:53:9720,0.1331,0.3860,0.9139,1.001
13:38:53:9740,0.1454,0.3965,0.8951,0.990
13:38:53:9760,0.1524,0.4068,0.8756,0.977
13:38:53:9790,0.1534,0.4165,0.8528,0.961
13:38:53:9810,0.1505,0.4229,0.8343,0.947
13:38:53:9860,0.1414,0.4219,0.8306,0.942
13:38:53:9880,0.1268,0.4160,0.8389,0.945
13:38:53:9890,0.1080,0.4085,0.8489,0.948
13:38:53:9910,0.0870,0.4031,0.8585,0.952
13:38:53:9930,0.0647,0.3962,0.8699,0.958
13:38:53:9960,0.0445,0.3892,0.8819,0.965
13:38:53:9990,0.0264,0.3816,0.8939,0.972
13:38:54:0050,0.0093,0.3711,0.9068,0.980
13:38:54:0060,-0.0034,0.3613,0.9208,0.989
13:38:54:0070,-0.0120,0.3501,0.9332,0.997
13:38:54:0080,-0.0176,0.3376,0.9430,1.002
13:38:54:0110,-0.0217,0.3261,0.9537,1.008
13:38:54:0130,-0.0235,0.3151,0.9637,1.014
13:38:54:0150,-0.0237,0.3066,0.9662,1.014
13:38:54:0200,-0.0293,0.3027,0.9713,1.018
13:38:54:0210,-0.0374,0.3029,0.9848,1.031
13:38:54:0220,-0.0452,0.3071,0.9948,1.042
13:38:54:0250,-0.0557,0.3110,0.9997,1.048
13:38:54:0270,-0.0674,0.3132,1.0041,1.054
13:38:54:0290,-0.0770,0.3134,1.0102,1.060
13:38:54:0320,-0.0835,0.3125,1.0187,1.069
13:38:54:0350,-0.0840,0.3142,1.0209,1.071
13:38:54:0370,-0.0814,0.3173,1.0246,1.076
13:38:54:0390,-0.0792,0.3203,1.0304,1.082
13:38:54:0420,-0.0770,0.3222,1.0290,1.081
13:38:54:0440,-0.0730,0.3256,1.0278,1.081
13:38:54:0470,-0.0642,0.3310,1.0273,1.081
13:38:54:0490,-0.0523,0.3386,1.0234,1.079
13:38:54:0520,-0.0398,0.3457,1.0190,1.077
13:38:54:0540,-0.0254,0.3513,1.0165,1.076
13:38:54:0560,-0.0129,0.3567,1.0114,1.073
13:38:54:0590,-0.0039,0.3596,1.0019,1.064
13:38:54:0610,0.0022,0.3584,0.9940,1.057
13:38:54:0640,0.0037,0.3564,0.9921,1.054
13:38:54:0660,0.0022,0.3545,0.9901,1.052
13:38:54:0690,0.0024,0.3525,0.9833,1.045
13:38:54:0709,0.0078,0.3486,0.9765,1.037
13:38:54:0740,0.0147,0.3437,0.9713,1.030
13:38:54:0760,0.0181,0.3405,0.9703,1.029
13:38:54:0780,0.0252,0.3362,0.9733,1.030
13:38:54:0800,0.0330,0.3332,0.9777,1.033
13:38:54:0859,0.0366,0.3342,0.9796,1.036
13:38:54:0869,0.0391,0.3349,0.9757,1.032
13:38:54:0880,0.0320,0.3349,0.9672,1.024
13:38:54:0910,0.0235,0.3349,0.9572,1.014
13:38:54:0930,0.0132,0.3369,0.9459,1.004
13:38:54:0960,-0.0012,0.3383,0.9364,0.996
13:38:54:0980,-0.0159,0.3379,0.9315,0.991
13:38:54:1060,-0.0293,0.3386,0.9303,0.990
13:38:54:1080,-0.0379,0.3435,0.9281,0.990
13:38:54:1080,-0.0454,0.3511,0.9225,0.988
13:38:54:1090,-0.0533,0.3576,0.9161,0.985
13:38:54:1100,-0.0599,0.3608,0.9107,0.981
13:38:54:1130,-0.0621,0.3640,0.9015,0.974
13:38:54:1150,-0.0677,0.3706,0.8870,0.964
13:38:54:1230,-0.0757,0.3777,0.8726,0.954
13:38:54:1240,-0.0801,0.3826,0.8631,0.947
13:38:54:1240,-0.0806,0.3862,0.8567,0.943
13:38:54:1240,-0.0787,0.3894,0.8494,0.938
13:38:54:1270,-0.0752,0.3928,0.8450,0.935
13:38:54:1290,-0.0667,0.3938,0.8443,0.934
13:38:54:1320,-0.0555,0.3911,0.8433,0.931
13:38:54:1350,-0.0459,0.3897,0.8443,0.931
13:38:54:1380,-0.0379,0.3887,0.8523,0.938
13:38:54:1390,-0.0308,0.3845,0.8677,0.950
13:38:54:1419,-0.0232,0.3821,0.8839,0.963
13:38:54:1440,-0.0132,0.3784,0.8985,0.975
13:38:54:1460,-0.0010,0.3735,0.9183,0.991
13:38:54:1490,0.0134,0.3721,0.9366,1.008
13:38:54:1520,0.0215,0.3689,0.9528,1.022
13:38:54:1540,0.0247,0.3638,0.9708,1.037
13:38:54:1560,0.0293,0.3591,0.9899,1.053
13:38:54:1580,0.0296,0.3555,1.0060,1.067
13:38:54:1610,0.0244,0.3550,1.0136,1.074
13:38:54:1630,0.0178,0.3589,1.0143,1.076
13:38:54:1660,0.0107,0.3642,1.0099,1.074
13:38:54:1680,0.0000,0.3689,1.0070,1.072
13:38:54:1710,-0.0117,0.3740,1.0075,1.075
13:38:54:1729,-0.0244,0.3809,1.0043,1.074
13:38:54:1750,-0.0408,0.3865,0.9948,1.068
13:38:54:1780,-0.0586,0.3887,0.9801,1.056
13:38:54:1800,-0.0792,0.3894,0.9618,1.041
13:38:54:1830,-0.0997,0.3906,0.9420,1.025
13:38:54:1870,-0.1207,0.3909,0.9227,1.009
13:38:54:1880,-0.1419,0.3892,0.9046,0.995
13:38:54:1900,-0.1571,0.3872,0.8897,0.983
13:38:54:1930,-0.1676,0.3860,0.8751,0.971
13:38:54:1950,-0.1778,0.3867,0.8567,0.957
13:38:54:1970,-0.1840,0.3889,0.8367,0.941
13:38:54:2000,-0.1876,0.3870,0.8223,0.928
13:38:54:2039,-0.1876,0.3848,0.8135,0.919
13:38:54:2050,-0.1830,0.3870,0.8040,0.911
13:38:54:2070,-0.1852,0.3904,0.7964,0.906
13:38:54:2090,-0.1932,0.3928,0.7957,0.908
13:38:54:2120,-0.1993,0.3953,0.7959,0.911
13:38:54:2140,-0.2069,0.3999,0.7920,0.911
13:38:54:2170,-0.2130,0.4053,0.7891,0.912
13:38:54:2220,-0.2103,0.4107,0.7942,0.919
13:38:54:2230,-0.2045,0.4129,0.8035,0.926
13:38:54:2240,-0.2008,0.4109,0.8140,0.934
13:38:54:2260,-0.1971,0.4109,0.8255,0.943
13:38:54:2290,-0.1932,0.4155,0.8289,0.947
13:38:54:2310,-0.1918,0.4212,0.8291,0.950
13:38:54:2360,-0.1910,0.4258,0.8338,0.956
13:38:54:2370,-0.1864,0.4317,0.8394,0.962
13:38:54:2380,-0.1803,0.4392,0.8360,0.961
13:38:54:2410,-0.1747,0.4454,0.8243,0.953
13:38:54:2430,-0.1691,0.4524,0.8111,0.944
13:38:54:2450,-0.1683,0.4610,0.7981,0.937
13:38:54:2480,-0.1708,0.4678,0.7879,0.932
13:38:54:2520,-0.1776,0.4734,0.7803,0.930
13:38:54:2530,-0.1869,0.4796,0.7739,0.929
13:38:54:2550,-0.1959,0.4879,0.7695,0.932
13:38:54:2620,-0.2015,0.4986,0.7668,0.937
13:38:54:2630,-0.2018,0.5081,0.7642,0.940
13:38:54:2630,-0.2008,0.5125,0.7654,0.943
13:38:54:2660,-0.1984,0.5140,0.7734,0.950
13:38:54:2690,-0.1979,0.5133,0.7813,0.955
13:38:54:2700,-0.2008,0.5108,0.7854,0.958
13:38:54:2730,-0.2037,0.5084,0.7866,0.959
13:38:54:2750,-0.2047,0.5047,0.7857,0.956
13:38:54:2770,-0.2023,0.5035,0.7832,0.953
13:38:54:2790,-0.1962,0.5086,0.7808,0.952
13:38:54:2829,-0.1866,0.5150,0.7803,0.953
13:38:54:2859,-0.1854,0.5245,0.7830,0.960
13:38:54:2870,-0.1825,0.5272,0.7881,0.966
13:38:54:2900,-0.1688,0.5216,0.7869,0.959
13:38:54:2920,-0.1588,0.5155,0.7769,0.946
13:38:54:2940,-0.1563,0.5059,0.7693,0.934
13:38:54:2970,-0.1554,0.5006,0.7688,0.930
13:38:54:2990,-0.1502,0.5018,0.7708,0.932
13:38:54:3030,-0.1449,0.5042,0.7754,0.936
13:38:54:3040,-0.1434,0.5050,0.7842,0.944
13:38:54:3070,-0.1461,0.5062,0.7927,0.952
13:38:54:3090,-0.1515,0.5074,0.8028,0.962
13:38:54:3110,-0.1583,0.5081,0.8135,0.972
13:38:54:3140,-0.1644,0.5101,0.8223,0.982
13:38:54:3160,-0.1671,0.5118,0.8274,0.987
13:38:54:3190,-0.1691,0.5128,0.8267,0.987
13:38:54:3210,-0.1717,0.5118,0.8230,0.984
13:38:54:3230,-0.1759,0.5069,0.8152,0.976
13:38:54:3260,-0.1808,0.5020,0.8072,0.968
13:38:54:3280,-0.1835,0.5006,0.8013,0.962
13:38:54:3300,-0.1837,0.4974,0.7962,0.957
13:38:54:3330,-0.1818,0.4942,0.7937,0.953
13:38:54:3360,-0.1764,0.4930,0.7927,0.950
13:38:54:3380,-0.1688,0.4910,0.7920,0.947
13:38:54:3400,-0.1581,0.4891,0.7930,0.945
13:38:54:3430,-0.1456,0.4876,0.7927,0.942
13:38:54:3449,-0.1331,0.4886,0.7891,0.938
13:38:54:3479,-0.1219,0.4908,0.7815,0.931
13:38:54:3500,-0.1151,0.4927,0.7708,0.922
13:38:54:3520,-0.1126,0.4954,0.7566,0.911
13:38:54:3550,-0.1138,0.4979,0.7375,0.897
13:38:54:3570,-0.1160,0.4998,0.7121,0.878
13:38:54:3590,-0.1180,0.5035,0.6787,0.853
13:38:54:3620,-0.1219,0.5094,0.6430,0.829
13:38:54:3640,-0.1065,0.4969,0.5990,0.786
13:38:54:3670,-0.0862,0.4810,0.5692,0.750
13:38:54:3690,-0.0945,0.4918,0.5565,0.749
13:38:54:3720,-0.1138,0.5079,0.5335,0.745
13:38:54:3740,-0.1319,0.5162,0.5111,0.738
13:38:54:3760,-0.1517,0.5182,0.5047,0.739
13:38:54:3790,-0.1673,0.5106,0.5128,0.743
13:38:54:3810,-0.1705,0.4991,0.5250,0.744
13:38:54:3840,-0.1632,0.4905,0.5365,0.745
13:38:54:3860,-0.1517,0.4839,0.5458,0.745
13:38:54:3890,-0.1424,0.4774,0.5589,0.749
13:38:54:3910,-0.1400,0.4686,0.5785,0.757
13:38:54:3940,-0.1461,0.4490,0.6068,0.769
13:38:54:3960,-0.1722,0.4060,0.6459,0.782
13:38:54:3980,-0.1930,0.3679,0.6816,0.798
13:38:54:4010,-0.1774,0.3591,0.7097,0.815
13:38:54:4040,-0.1498,0.3594,0.7358,0.832
13:38:54:4060,-0.1207,0.3594,0.7580,0.848
13:38:54:4079,-0.0931,0.3572,0.7793,0.862
13:38:54:4110,-0.0708,0.3515,0.7996,0.876
13:38:54:4130,-0.0618,0.3425,0.8098,0.881
13:38:54:4150,-0.0183,0.3474,0.8150,0.886
13:38:54:4180,0.0259,0.3579,0.8140,0.890
13:38:54:4210,0.0428,0.3581,0.8096,0.886
13:38:54:4230,0.0630,0.3545,0.8116,0.888
13:38:54:4250,0.0669,0.3464,0.8103,0.884
13:38:54:4280,0.0721,0.3376,0.7984,0.870
13:38:54:4300,0.0796,0.3281,0.7800,0.850
13:38:54:4330,0.0838,0.3156,0.7468,0.815
13:38:54:4350,0.0816,0.2956,0.6904,0.755
13:38:54:4370,0.0733,0.2695,0.6164,0.677
13:38:54:4400,0.0635,0.2463,0.5321,0.590
13:38:54:4440,0.0533,0.2284,0.4475,0.505
13:38:54:4440,0.0445,0.2150,0.3616,0.423
13:38:54:4470,0.0369,0.2067,0.2932,0.361
13:38:54:4490,0.0296,0.1996,0.2487,0.320
13:38:54:4520,0.0244,0.1915,0.2069,0.283
13:38:54:4550,0.0195,0.1852,0.1754,0.256
13:38:54:4570,0.0103,0.1793,0.1607,0.241
13:38:54:4590,-0.0029,0.1715,0.1661,0.239
13:38:54:4620,-0.0186,0.1644,0.1906,0.252
13:38:54:4640,-0.0322,0.1590,0.2304,0.282
13:38:54:4660,-0.0366,0.1581,0.2932,0.335
13:38:54:4690,-0.0388,0.1637,0.3640,0.401
13:38:54:4710,-0.0442,0.1722,0.4229,0.459
13:38:54:4740,-0.0547,0.1774,0.4664,0.502
13:38:54:4760,-0.0748,0.1832,0.4976,0.536
13:38:54:4780,-0.1009,0.1832,0.5216,0.562
13:38:54:4810,-0.1312,0.1752,0.5448,0.587
13:38:54:4830,-0.1671,0.1669,0.5736,0.620
13:38:54:4860,-0.2025,0.1573,0.6127,0.664
13:38:54:4880,-0.2335,0.1498,0.6564,0.713
13:38:54:4910,-0.2616,0.1390,0.6975,0.758
13:38:54:4930,-0.2858,0.1263,0.7434,0.806
13:38:54:4960,-0.3066,0.1116,0.7881,0.853
13:38:54:4980,-0.3264,0.0958,0.8323,0.899
13:38:54:5000,-0.3501,0.0799,0.8839,0.954
13:38:54:5030,-0.3801,0.0633,0.9317,1.008
13:38:54:5050,-0.4124,0.0474,0.9591,1.045
13:38:54:5080,-0.4444,0.0293,0.9701,1.067
13:38:54:5100,-0.4778,0.0110,0.9760,1.087
13:38:54:5130,-0.5094,-0.0007,0.9779,1.103
13:38:54:5150,-0.5338,-0.0049,0.9728,1.110
13:38:54:5180,-0.5502,-0.0083,0.9606,1.107
13:38:54:5200,-0.5651,-0.0151,0.9554,1.110
13:38:54:5220,-0.5800,-0.0247,0.9476,1.111
