time,gFx,gFy,gFz,TgF
13:37:15:1370,0.0042,0.3427,0.8189,0.888
13:37:15:1380,0.0046,0.3396,0.8257,0.893
13:37:15:1380,0.0002,0.3315,0.8370,0.900
13:37:15:1380,-0.0032,0.3249,0.8541,0.914
13:37:15:1400,-0.0039,0.3222,0.8724,0.930
13:37:15:1429,-0.0049,0.3176,0.8905,0.945
13:37:15:1450,-0.0073,0.3129,0.9066,0.959
13:37:15:1550,-0.0071,0.3110,0.9229,0.974
13:37:15:1550,-0.0061,0.3085,0.9401,0.989
13:37:15:1550,-0.0068,0.3044,0.9557,1.003
13:37:15:1560,-0.0078,0.2988,0.9733,1.018
13:37:15:1570,-0.0093,0.2932,0.9928,1.035
13:37:15:1590,-0.0093,0.2900,1.0116,1.052
13:37:15:1620,-0.0068,0.2885,1.0343,1.074
13:37:15:1650,-0.0051,0.2853,1.0568,1.095
13:37:15:1670,-0.0032,0.2848,1.0725,1.110
13:37:15:1690,0.0000,0.2853,1.0827,1.120
13:37:15:1719,0.0032,0.2851,1.0876,1.124
13:37:15:1739,0.0086,0.2885,1.0852,1.123
13:37:15:1760,0.0164,0.2946,1.0747,1.114
13:37:15:1790,0.0225,0.3000,1.0590,1.101
13:37:15:1830,0.0447,0.3288,1.0375,1.089
13:37:15:1840,0.0818,0.3689,1.0092,1.078
13:37:15:1860,0.0647,0.3618,0.9977,1.063
13:37:15:1890,0.0086,0.3225,0.9982,1.049
13:37:15:1910,-0.0227,0.2941,0.9901,1.033
13:37:15:1940,-0.0376,0.2775,0.9767,1.016
13:37:15:1970,-0.0440,0.2702,0.9603,0.999
13:37:15:1990,-0.0467,0.2739,0.9410,0.981
13:37:15:2010,-0.0462,0.2883,0.9225,0.968
13:37:15:2030,-0.0437,0.3066,0.9083,0.960
13:37:15:2060,-0.0432,0.3220,0.8973,0.954
13:37:15:2080,-0.0435,0.3349,0.8890,0.951
13:37:15:2110,-0.0432,0.3447,0.8812,0.947
13:37:15:2140,-0.0428,0.3515,0.8709,0.940
13:37:15:2150,-0.0435,0.3535,0.8594,0.930
13:37:15:2180,-0.0464,0.3511,0.8497,0.920
13:37:15:2200,-0.0498,0.3503,0.8428,0.914
13:37:15:2230,-0.0515,0.3525,0.8414,0.914
13:37:15:2250,-0.0547,0.3564,0.8438,0.918
13:37:15:2280,-0.0577,0.3596,0.8467,0.922
13:37:15:2310,-0.0596,0.3618,0.8514,0.927
13:37:15:2330,-0.0630,0.3638,0.8587,0.935
13:37:15:2360,-0.0638,0.3657,0.8694,0.945
13:37:15:2380,-0.0628,0.3682,0.8819,0.958
13:37:15:2410,-0.0606,0.3704,0.8924,0.968
