time,gFx,gFy,gFz,TgF
13:44:50:3489,-0.2150,0.4519,0.8780,1.011
13:44:50:3500,-0.2150,0.4532,0.8726,1.007
13:44:50:3530,-0.2155,0.4541,0.8680,1.003
13:44:50:3550,-0.2164,0.4544,0.8660,1.002
13:44:50:3580,-0.2177,0.4534,0.8668,1.002
13:44:50:3600,-0.2194,0.4524,0.8682,1.003
13:44:50:3630,-0.2199,0.4529,0.8702,1.005
13:44:50:3660,-0.2218,0.4549,0.8726,1.009
13:44:50:3680,-0.2233,0.4556,0.8756,1.012
13:44:50:3700,-0.2238,0.4571,0.8782,1.015
13:44:50:3730,-0.2240,0.4583,0.8787,1.016
13:44:50:3750,-0.2240,0.4595,0.8770,1.015
13:44:50:3770,-0.2270,0.4610,0.8751,1.015
13:44:50:3810,-0.2282,0.4605,0.8729,1.013
13:44:50:3820,-0.2265,0.4600,0.8709,1.011
13:44:50:3850,-0.2257,0.4607,0.8668,1.007
13:44:50:3870,-0.2250,0.4603,0.8636,1.004
13:44:50:3890,-0.2228,0.4583,0.8646,1.004
13:44:50:3920,-0.2204,0.4576,0.8660,1.004
13:44:50:3940,-0.2206,0.4578,0.8685,1.006
13:44:50:3970,-0.2221,0.4568,0.8743,1.011
13:44:50:3990,-0.2211,0.4556,0.8797,1.015
13:44:50:4010,-0.2204,0.4554,0.8841,1.019
13:44:50:4040,-0.2201,0.4563,0.8875,1.022
13:44:50:4060,-0.2189,0.4554,0.8922,1.025
13:44:50:4089,-0.2184,0.4527,0.8988,1.030
13:44:50:4120,-0.2194,0.4488,0.9041,1.033
13:44:50:4150,-0.2211,0.4446,0.9095,1.036
13:44:50:4170,-0.2216,0.4434,0.9132,1.039
13:44:50:4190,-0.2216,0.4439,0.9164,1.042
13:44:50:4210,-0.2218,0.4456,0.9200,1.046
13:44:50:4230,-0.2238,0.4468,0.9208,1.048
13:44:50:4260,-0.2272,0.4466,0.9195,1.047
13:44:50:4280,-0.2299,0.4451,0.9168,1.045
13:44:50:4310,-0.2296,0.4439,0.9127,1.041
13:44:50:4330,-0.2294,0.4429,0.9073,1.035
13:44:50:4350,-0.2291,0.4432,0.9000,1.029
13:44:50:4380,-0.2277,0.4432,0.8931,1.023
13:44:50:4400,-0.2260,0.4429,0.8863,1.016
13:44:50:4430,-0.2262,0.4441,0.8797,1.011
13:44:50:4450,-0.2296,0.4449,0.8748,1.008
13:44:50:4500,-0.2313,0.4444,0.8680,1.002
13:44:50:4500,-0.2313,0.4427,0.8585,0.993
13:44:50:4520,-0.2318,0.4405,0.8514,0.986
13:44:50:4550,-0.2343,0.4388,0.8487,0.984
13:44:50:4570,-0.2399,0.4363,0.8472,0.983
13:44:50:4600,-0.2458,0.4353,0.8458,0.982
13:44:50:4620,-0.2499,0.4375,0.8445,0.983
13:44:50:4650,-0.2533,0.4407,0.8445,0.986
13:44:50:4670,-0.2602,0.4439,0.8426,0.987
13:44:50:4690,-0.2685,0.4454,0.8389,0.987
13:44:50:4720,-0.2748,0.4429,0.8328,0.982
13:44:50:4740,-0.2790,0.4388,0.8245,0.975
13:44:50:4760,-0.2770,0.4366,0.8189,0.968
13:44:50:4790,-0.2677,0.4378,0.8145,0.963
13:44:50:4820,-0.2565,0.4405,0.8076,0.955
13:44:50:4840,-0.2497,0.4466,0.7976,0.948
13:44:50:4860,-0.2504,0.4510,0.7903,0.944
13:44:50:4890,-0.2565,0.4505,0.7859,0.941
13:44:50:4910,-0.2616,0.4505,0.7803,0.938
13:44:50:4940,-0.2631,0.4515,0.7742,0.934
13:44:50:4960,-0.2602,0.4529,0.7688,0.929
13:44:50:4990,-0.2577,0.4546,0.7656,0.927
13:44:50:5010,-0.2531,0.4561,0.7661,0.927
13:44:50:5030,-0.2558,0.4537,0.7649,0.925
13:44:50:5060,-0.2631,0.4519,0.7546,0.918
13:44:50:5080,-0.2624,0.4568,0.7453,0.913
13:44:50:5120,-0.2524,0.4642,0.7463,0.914
13:44:50:5140,-0.2370,0.4705,0.7532,0.919
13:44:50:5160,-0.2270,0.4732,0.7607,0.924
13:44:50:5190,-0.2218,0.4698,0.7681,0.927
13:44:50:5210,-0.2174,0.4654,0.7759,0.931
13:44:50:5230,-0.2130,0.4600,0.7842,0.934
13:44:50:5250,-0.2059,0.4561,0.7957,0.940
13:44:50:5270,-0.1969,0.4549,0.8089,0.949
