time,gFx,gFy,gFz,TgF
13:41:44:3120,0.2450,0.6359,0.6506,0.942
13:41:44:3130,0.2301,0.6325,0.6547,0.939
13:41:44:3130,0.2145,0.6244,0.6662,0.938
13:41:44:3130,0.2023,0.6137,0.6809,0.939
13:41:44:3150,0.1945,0.6024,0.7036,0.946
13:41:44:3180,0.1932,0.5929,0.7236,0.955
13:41:44:3210,0.1979,0.5885,0.7414,0.967
13:41:44:3230,0.2047,0.5892,0.7561,0.980
13:41:44:3260,0.2091,0.5914,0.7656,0.990
13:41:44:3280,0.2111,0.5932,0.7744,0.998
13:41:44:3300,0.2118,0.5953,0.7815,1.005
13:41:44:3330,0.2103,0.5966,0.7903,1.012
13:41:44:3350,0.2077,0.5958,0.7984,1.018
13:41:44:3439,0.2042,0.5936,0.8050,1.021
13:41:44:3449,0.1996,0.5888,0.8072,1.019
13:41:44:3449,0.1967,0.5841,0.8035,1.013
13:41:44:3449,0.1967,0.5804,0.8045,1.011
13:41:44:3469,0.1971,0.5790,0.8072,1.013
13:41:44:3489,0.1986,0.5778,0.8054,1.011
13:41:44:3520,0.2011,0.5760,0.8020,1.008
13:41:44:3540,0.2020,0.5763,0.7981,1.005
13:41:44:3570,0.2025,0.5778,0.7969,1.005
13:41:44:3590,0.2020,0.5800,0.7998,1.008
13:41:44:3610,0.2006,0.5836,0.8064,1.015
13:41:44:3640,0.2001,0.5851,0.8057,1.016
13:41:44:3660,0.2013,0.5831,0.7996,1.010
13:41:44:3720,0.2013,0.5826,0.8047,1.014
13:41:44:3730,0.1959,0.5795,0.8164,1.020
13:41:44:3750,0.1881,0.5709,0.8233,1.019
13:41:44:3760,0.1793,0.5631,0.8250,1.015
13:41:44:3790,0.1666,0.5587,0.8289,1.013
13:41:44:3810,0.1551,0.5538,0.8345,1.014
13:41:44:3840,0.1500,0.5475,0.8396,1.014
13:41:44:3870,0.1493,0.5418,0.8460,1.016
13:41:44:3880,0.1515,0.5375,0.8536,1.020
13:41:44:3910,0.1551,0.5348,0.8607,1.025
13:41:44:3930,0.1585,0.5326,0.8614,1.025
13:41:44:3960,0.1598,0.5267,0.8577,1.019
13:41:44:3980,0.1568,0.5191,0.8550,1.013
13:41:44:4000,0.1520,0.5140,0.8538,1.008
13:41:44:4040,0.1463,0.5108,0.8560,1.008
13:41:44:4050,0.1375,0.5086,0.8631,1.011
13:41:44:4079,0.1243,0.5054,0.8699,1.014
13:41:44:4100,0.1112,0.5020,0.8758,1.016
13:41:44:4130,0.1002,0.4959,0.8831,1.018
13:41:44:4150,0.0884,0.4879,0.8880,1.017
13:41:44:4170,0.0779,0.4803,0.8887,1.013
13:41:44:4200,0.0706,0.4732,0.8878,1.008
13:41:44:4230,0.0630,0.4666,0.8870,1.004
13:41:44:4250,0.0574,0.4627,0.8865,1.002
13:41:44:4270,0.0535,0.4612,0.8878,1.002
13:41:44:4290,0.0474,0.4617,0.8900,1.004
13:41:44:4330,0.0432,0.4620,0.8907,1.004
13:41:44:4350,0.0396,0.4620,0.8912,1.005
13:41:44:4380,0.0352,0.4627,0.8892,1.003
13:41:44:4400,0.0308,0.4625,0.8865,1.000
13:41:44:4420,0.0278,0.4634,0.8851,0.999
13:41:44:4440,0.0249,0.4651,0.8858,1.001
13:41:44:4470,0.0205,0.4659,0.8878,1.003
13:41:44:4490,0.0178,0.4659,0.8897,1.004
13:41:44:4520,0.0164,0.4651,0.8917,1.006
13:41:44:4540,0.0144,0.4649,0.8902,1.004
13:41:44:4570,0.0129,0.4634,0.8853,0.999
13:41:44:4590,0.0120,0.4617,0.8787,0.993
13:41:44:4610,0.0100,0.4634,0.8716,0.987
13:41:44:4640,0.0071,0.4678,0.8677,0.986
13:41:44:4660,0.0046,0.4715,0.8643,0.985
13:41:44:4680,0.0039,0.4759,0.8607,0.983
13:41:44:4720,0.0032,0.4805,0.8594,0.985
13:41:44:4740,0.0034,0.4839,0.8580,0.985
13:41:44:4760,0.0044,0.4893,0.8565,0.986
13:41:44:4780,0.0046,0.4947,0.8558,0.988
13:41:44:4810,0.0032,0.5003,0.8526,0.989
13:41:44:4830,0.0029,0.5050,0.8482,0.987
13:41:44:4850,0.0042,0.5069,0.8436,0.984
13:41:44:4990,0.0042,0.5079,0.8384,0.980
13:41:44:5000,0.0066,0.5106,0.8338,0.978
13:41:44:5010,0.0093,0.5147,0.8250,0.972
13:41:44:5020,0.0100,0.5204,0.8125,0.965
13:41:44:5030,0.0125,0.5260,0.8025,0.960
13:41:44:5030,0.0149,0.5311,0.7935,0.955
13:41:44:5030,0.0166,0.5357,0.7832,0.949
13:41:44:5050,0.0161,0.5404,0.7722,0.943
13:41:44:5080,0.0151,0.5455,0.7649,0.940
13:41:44:5100,0.0139,0.5502,0.7571,0.936
13:41:44:5120,0.0112,0.5541,0.7507,0.933
13:41:44:5140,0.0105,0.5572,0.7453,0.931
13:41:44:5170,0.0100,0.5572,0.7385,0.925
13:41:44:5220,0.0078,0.5560,0.7309,0.918
13:41:44:5250,0.0071,0.5568,0.7251,0.914
13:41:44:5250,0.0068,0.5555,0.7229,0.912
13:41:44:5260,0.0049,0.5550,0.7221,0.911
13:41:44:5290,0.0042,0.5558,0.7207,0.910
13:41:44:5310,0.0039,0.5572,0.7182,0.909
13:41:44:5340,0.0024,0.5594,0.7195,0.911
13:41:44:5380,0.0017,0.5604,0.7195,0.912
13:41:44:5390,0.0024,0.5611,0.7170,0.910
13:41:44:5410,0.0012,0.5611,0.7202,0.913
13:41:44:5440,0.0007,0.5609,0.7258,0.917
13:41:44:5460,0.0042,0.5611,0.7265,0.918
13:41:44:5480,0.0076,0.5614,0.7280,0.919
13:41:44:5510,0.0105,0.5607,0.7324,0.922
13:41:44:5560,0.0125,0.5611,0.7326,0.923
13:41:44:5560,0.0154,0.5614,0.7317,0.922
13:41:44:5580,0.0195,0.5611,0.7336,0.924
13:41:44:5610,0.0242,0.5619,0.7366,0.927
13:41:44:5629,0.0291,0.5614,0.7388,0.928
13:41:44:5649,0.0357,0.5621,0.7392,0.929
13:41:44:5679,0.0425,0.5641,0.7412,0.932
13:41:44:5709,0.0476,0.5651,0.7451,0.936
13:41:44:5729,0.0523,0.5660,0.7507,0.942
13:41:44:5770,0.0559,0.5641,0.7585,0.947
13:41:44:5780,0.0606,0.5626,0.7676,0.954
13:41:44:5810,0.0650,0.5597,0.7783,0.961
13:41:44:5830,0.0677,0.5558,0.7891,0.968
13:41:44:5850,0.0713,0.5543,0.7979,0.974
13:41:44:5890,0.0740,0.5499,0.8079,0.980
13:41:44:5900,0.0748,0.5462,0.8167,0.985
13:41:44:5930,0.0772,0.5450,0.8238,0.991
13:41:44:5950,0.0806,0.5431,0.8309,0.996
13:41:44:5970,0.0848,0.5418,0.8338,0.998
13:41:44:5990,0.0901,0.5418,0.8372,1.001
13:41:44:6020,0.0948,0.5418,0.8423,1.006
13:41:44:6070,0.0977,0.5409,0.8475,1.010
13:41:44:6080,0.0992,0.5382,0.8531,1.014
13:41:44:6090,0.0970,0.5345,0.8592,1.017
13:41:44:6120,0.0933,0.5299,0.8682,1.021
13:41:44:6140,0.0916,0.5255,0.8763,1.026
13:41:44:6170,0.0899,0.5213,0.8836,1.030
13:41:44:6190,0.0867,0.5177,0.8902,1.033
13:41:44:6220,0.0855,0.5172,0.8953,1.038
13:41:44:6240,0.0840,0.5164,0.8997,1.041
13:41:44:6280,0.0814,0.5155,0.9007,1.041
13:41:44:6290,0.0792,0.5150,0.9002,1.040
13:41:44:6310,0.0782,0.5128,0.8973,1.036
13:41:44:6340,0.0787,0.5120,0.8939,1.033
13:41:44:6380,0.0796,0.5140,0.8905,1.031
13:41:44:6390,0.0821,0.5160,0.8900,1.032
13:41:44:6410,0.0840,0.5177,0.8865,1.030
13:41:44:6440,0.0857,0.5196,0.8826,1.028
13:41:44:6460,0.0884,0.5218,0.8814,1.028
13:41:44:6480,0.0911,0.5240,0.8795,1.028
13:41:44:6500,0.0941,0.5257,0.8770,1.027
13:41:44:6550,0.0958,0.5287,0.8719,1.024
13:41:44:6560,0.0965,0.5313,0.8655,1.020
13:41:44:6580,0.0960,0.5333,0.8626,1.019
13:41:44:6610,0.0943,0.5355,0.8614,1.019
13:41:44:6630,0.0958,0.5379,0.8585,1.018
13:41:44:6650,0.0977,0.5399,0.8550,1.016
13:41:44:6670,0.1024,0.5409,0.8541,1.016
13:41:44:6720,0.1090,0.5426,0.8528,1.017
13:41:44:6730,0.1138,0.5426,0.8504,1.015
13:41:44:6780,0.1160,0.5411,0.8497,1.014
13:41:44:6790,0.1143,0.5409,0.8497,1.014
13:41:44:6800,0.1114,0.5414,0.8509,1.015
13:41:44:6820,0.1087,0.5418,0.8526,1.016
13:41:44:6840,0.1063,0.5433,0.8548,1.018
13:41:44:6990,0.1036,0.5455,0.8558,1.020
13:41:44:7000,0.1026,0.5477,0.8545,1.020
13:41:44:7000,0.1038,0.5504,0.8533,1.021
13:41:44:7010,0.1060,0.5533,0.8509,1.020
13:41:44:7010,0.1065,0.5570,0.8462,1.019
13:41:44:7020,0.1041,0.5572,0.8418,1.015
13:41:44:7020,0.1019,0.5560,0.8374,1.010
13:41:44:7050,0.1004,0.5577,0.8267,1.002
13:41:44:7070,0.0980,0.5594,0.8155,0.994
13:41:44:7090,0.0958,0.5597,0.8098,0.989
13:41:44:7110,0.0943,0.5597,0.8045,0.985
13:41:44:7140,0.0914,0.5602,0.7993,0.980
13:41:44:7160,0.0872,0.5614,0.7947,0.977
13:41:44:7180,0.0843,0.5626,0.7908,0.974
13:41:44:7240,0.0809,0.5624,0.7871,0.971
13:41:44:7250,0.0762,0.5609,0.7842,0.967
13:41:44:7260,0.0708,0.5607,0.7839,0.966
13:41:44:7280,0.0660,0.5599,0.7835,0.965
13:41:44:7300,0.0625,0.5582,0.7832,0.964
13:41:44:7330,0.0591,0.5548,0.7844,0.963
13:41:44:7350,0.0540,0.5499,0.7852,0.960
13:41:44:7390,0.0515,0.5470,0.7857,0.959
13:41:44:7420,0.0518,0.5453,0.7847,0.957
13:41:44:7430,0.0523,0.5462,0.7842,0.957
13:41:44:7450,0.0542,0.5499,0.7857,0.961
13:41:44:7480,0.0555,0.5519,0.7864,0.962
13:41:44:7500,0.0542,0.5519,0.7854,0.961
13:41:44:7530,0.0533,0.5528,0.7842,0.961
13:41:44:7550,0.0542,0.5536,0.7849,0.962
13:41:44:7570,0.0545,0.5528,0.7874,0.964
13:41:44:7600,0.0540,0.5511,0.7891,0.964
13:41:44:7620,0.0545,0.5484,0.7888,0.962
13:41:44:7640,0.0530,0.5438,0.7896,0.960
13:41:44:7670,0.0498,0.5406,0.7905,0.959
13:41:44:7690,0.0481,0.5414,0.7908,0.960
13:41:44:7730,0.0452,0.5423,0.7908,0.960
13:41:44:7740,0.0415,0.5436,0.7905,0.960
13:41:44:7760,0.0398,0.5450,0.7901,0.961
13:41:44:7790,0.0379,0.5458,0.7886,0.960
13:41:44:7810,0.0362,0.5453,0.7879,0.959
13:41:44:7840,0.0330,0.5445,0.7881,0.958
13:41:44:7920,0.0291,0.5423,0.7881,0.957
13:41:44:7930,0.0254,0.5392,0.7891,0.956
13:41:44:7940,0.0239,0.5362,0.7898,0.955
13:41:44:7950,0.0217,0.5331,0.7923,0.955
13:41:44:7980,0.0186,0.5296,0.7959,0.956
13:41:44:7990,0.0164,0.5269,0.7981,0.957
13:41:44:8010,0.0147,0.5265,0.7993,0.957
13:41:44:8070,0.0149,0.5245,0.8003,0.957
13:41:44:8070,0.0181,0.5230,0.8032,0.959
13:41:44:8080,0.0205,0.5223,0.8059,0.961
13:41:44:8110,0.0249,0.5223,0.8081,0.963
13:41:44:8129,0.0313,0.5233,0.8103,0.965
13:41:44:8149,0.0344,0.5223,0.8106,0.965
13:41:44:8179,0.0354,0.5223,0.8123,0.966
13:41:44:8210,0.0364,0.5250,0.8152,0.970
13:41:44:8240,0.0371,0.5272,0.8184,0.974
13:41:44:8250,0.0381,0.5272,0.8218,0.977
13:41:44:8270,0.0398,0.5269,0.8272,0.982
13:41:44:8300,0.0398,0.5267,0.8323,0.986
13:41:44:8330,0.0396,0.5277,0.8348,0.988
13:41:44:8350,0.0408,0.5282,0.8406,0.994
13:41:44:8390,0.0408,0.5287,0.8458,0.998
13:41:44:8410,0.0403,0.5299,0.8501,1.003
13:41:44:8430,0.0384,0.5294,0.8565,1.008
13:41:44:8440,0.0364,0.5294,0.8597,1.010
13:41:44:8470,0.0344,0.5299,0.8597,1.010
13:41:44:8490,0.0318,0.5287,0.8624,1.012
13:41:44:8520,0.0274,0.5269,0.8651,1.013
13:41:44:8550,0.0232,0.5277,0.8680,1.016
13:41:44:8570,0.0203,0.5289,0.8702,1.019
13:41:44:8590,0.0161,0.5279,0.8694,1.017
13:41:44:8620,0.0120,0.5260,0.8675,1.015
13:41:44:8690,0.0098,0.5238,0.8636,1.010
13:41:44:8690,0.0068,0.5213,0.8624,1.008
13:41:44:8700,0.0037,0.5204,0.8619,1.007
13:41:44:8740,0.0015,0.5218,0.8609,1.007
13:41:44:8740,-0.0007,0.5223,0.8587,1.005
13:41:44:8760,-0.0015,0.5211,0.8555,1.002
13:41:44:8780,-0.0007,0.5206,0.8504,0.997
