time,gFx,gFy,gFz,TgF
13:40:19:7520,0.1522,0.5103,0.7962,0.958
13:40:19:7530,0.1471,0.5101,0.7986,0.959
13:40:19:7530,0.1446,0.5116,0.8047,0.964
13:40:19:7530,0.1400,0.5101,0.8032,0.962
13:40:19:7530,0.1370,0.5084,0.8023,0.960
13:40:19:7550,0.1380,0.5094,0.8125,0.969
13:40:19:7580,0.1414,0.5125,0.8228,0.980
13:40:19:7600,0.1480,0.5164,0.8357,0.994
13:40:19:7620,0.1542,0.5208,0.8482,1.007
13:40:19:7650,0.1615,0.5245,0.8587,1.019
13:40:19:7670,0.1695,0.5304,0.8690,1.032
13:40:19:7690,0.1754,0.5343,0.8758,1.041
13:40:19:7720,0.1786,0.5335,0.8829,1.047
13:40:19:7770,0.1793,0.5331,0.8895,1.052
13:40:19:7770,0.1798,0.5365,0.8905,1.055
13:40:19:7790,0.1798,0.5394,0.8917,1.058
13:40:19:7820,0.1798,0.5394,0.8919,1.058
13:40:19:7840,0.1810,0.5387,0.8856,1.052
13:40:19:7860,0.1818,0.5375,0.8738,1.042
13:40:19:7890,0.1808,0.5355,0.8641,1.033
13:40:19:7910,0.1769,0.5291,0.8633,1.028
13:40:19:7940,0.1730,0.5211,0.8541,1.015
13:40:19:7960,0.1695,0.5162,0.8384,0.999
13:40:19:7980,0.1659,0.5133,0.8328,0.992
13:40:19:8010,0.1632,0.5111,0.8291,0.988
13:40:19:8040,0.1590,0.5101,0.8240,0.982
13:40:19:8060,0.1568,0.5076,0.8194,0.977
13:40:19:8129,0.1561,0.5047,0.8172,0.973
13:40:19:8139,0.1549,0.5030,0.8155,0.971
13:40:19:8139,0.1549,0.5008,0.8142,0.968
13:40:19:8169,0.1549,0.4979,0.8145,0.967
13:40:19:8179,0.1556,0.4981,0.8152,0.968
13:40:19:8200,0.1571,0.4993,0.8147,0.968
13:40:19:8240,0.1573,0.5015,0.8145,0.969
13:40:19:8260,0.1576,0.5035,0.8130,0.969
13:40:19:8290,0.1583,0.5050,0.8106,0.968
13:40:19:8300,0.1647,0.5076,0.8103,0.970
13:40:19:8330,0.1742,0.5118,0.8145,0.978
13:40:19:8350,0.1791,0.5113,0.8265,0.988
13:40:19:8370,0.1776,0.5037,0.8355,0.992
13:40:19:8420,0.1717,0.4991,0.8282,0.982
13:40:19:8430,0.1666,0.5023,0.8152,0.972
13:40:19:8450,0.1656,0.5101,0.8116,0.973
13:40:19:8470,0.1688,0.5184,0.8159,0.981
13:40:19:8490,0.1732,0.5255,0.8233,0.992
13:40:19:8520,0.1749,0.5282,0.8304,1.000
13:40:19:8550,0.1710,0.5267,0.8394,1.006
13:40:19:8570,0.1644,0.5223,0.8484,1.010
13:40:19:8590,0.1605,0.5164,0.8504,1.008
13:40:19:8620,0.1612,0.5138,0.8499,1.006
13:40:19:8640,0.1654,0.5150,0.8501,1.008
13:40:19:8660,0.1700,0.5191,0.8501,1.011
13:40:19:8690,0.1737,0.5201,0.8497,1.011
13:40:19:8710,0.1749,0.5177,0.8467,1.008
13:40:19:8740,0.1769,0.5186,0.8389,1.002
13:40:19:8760,0.1788,0.5238,0.8279,0.996
13:40:19:8790,0.1791,0.5299,0.8211,0.993
13:40:19:8810,0.1800,0.5357,0.8191,0.995
13:40:19:8830,0.1820,0.5411,0.8177,0.997
13:40:19:8860,0.1815,0.5455,0.8145,0.997
13:40:19:8880,0.1793,0.5467,0.8089,0.993
13:40:19:8910,0.1771,0.5450,0.8025,0.986
13:40:19:8930,0.1725,0.5423,0.8001,0.982
13:40:19:8960,0.1705,0.5406,0.8018,0.982
13:40:19:8980,0.1739,0.5382,0.8074,0.986
13:40:19:9000,0.1747,0.5367,0.8147,0.991
13:40:19:9030,0.1739,0.5362,0.8194,0.995
13:40:19:9050,0.1742,0.5348,0.8252,0.999
13:40:19:9080,0.1720,0.5335,0.8294,1.001
13:40:19:9100,0.1673,0.5294,0.8296,0.998
13:40:19:9130,0.1637,0.5260,0.8333,0.999
13:40:19:9150,0.1654,0.5252,0.8389,1.003
13:40:19:9170,0.1683,0.5284,0.8401,1.007
13:40:19:9200,0.1713,0.5326,0.8399,1.009
13:40:19:9230,0.1737,0.5370,0.8426,1.014
13:40:19:9330,0.1747,0.5414,0.8455,1.019
13:40:19:9340,0.1727,0.5421,0.8475,1.021
13:40:19:9340,0.1681,0.5406,0.8501,1.021
13:40:19:9350,0.1627,0.5379,0.8519,1.021
13:40:19:9350,0.1573,0.5360,0.8536,1.020
13:40:19:9370,0.1527,0.5343,0.8548,1.020
13:40:19:9400,0.1476,0.5304,0.8533,1.015
13:40:19:9420,0.1407,0.5265,0.8516,1.011
13:40:19:9440,0.1329,0.5223,0.8511,1.007
13:40:19:9470,0.1265,0.5169,0.8494,1.002
13:40:19:9490,0.1197,0.5101,0.8448,0.994
13:40:19:9510,0.1134,0.5067,0.8404,0.988
13:40:19:9540,0.1065,0.5074,0.8389,0.986
13:40:19:9570,0.1016,0.5101,0.8416,0.989
13:40:19:9590,0.0999,0.5120,0.8438,0.992
13:40:19:9610,0.0999,0.5123,0.8431,0.992
13:40:19:9640,0.1004,0.5130,0.8392,0.989
13:40:19:9660,0.1016,0.5135,0.8318,0.983
13:40:19:9680,0.1041,0.5125,0.8247,0.977
13:40:19:9710,0.1058,0.5125,0.8181,0.971
13:40:19:9740,0.1065,0.5130,0.8130,0.967
13:40:19:9760,0.1063,0.5118,0.8108,0.965
13:40:19:9780,0.1063,0.5101,0.8103,0.963
13:40:19:9810,0.1068,0.5094,0.8128,0.965
13:40:19:9830,0.1058,0.5103,0.8164,0.969
13:40:19:9850,0.1075,0.5113,0.8189,0.971
13:40:19:9880,0.1121,0.5140,0.8221,0.976
13:40:19:9920,0.1178,0.5191,0.8223,0.980
13:40:19:9930,0.1256,0.5260,0.8208,0.983
13:40:19:9950,0.1329,0.5316,0.8252,0.991
13:40:19:9980,0.1392,0.5350,0.8330,1.000
13:40:20:0000,0.1466,0.5418,0.8343,1.006
13:40:20:0020,0.1517,0.5487,0.8311,1.007
13:40:20:0050,0.1537,0.5531,0.8311,1.010
13:40:20:0080,0.1554,0.5543,0.8330,1.013
13:40:20:0100,0.1551,0.5524,0.8348,1.013
13:40:20:0120,0.1529,0.5509,0.8338,1.011
13:40:20:0140,0.1498,0.5506,0.8343,1.011
13:40:20:0170,0.1454,0.5467,0.8374,1.011
13:40:20:0190,0.1412,0.5438,0.8404,1.011
13:40:20:0220,0.1385,0.5404,0.8423,1.010
13:40:20:0260,0.1346,0.5353,0.8418,1.007
13:40:20:0270,0.1302,0.5301,0.8396,1.001
13:40:20:0290,0.1268,0.5269,0.8382,0.998
13:40:20:0310,0.1243,0.5269,0.8340,0.994
13:40:20:0340,0.1229,0.5272,0.8272,0.989
13:40:20:0360,0.1224,0.5291,0.8233,0.986
13:40:20:0390,0.1236,0.5304,0.8201,0.984
13:40:20:0420,0.1253,0.5306,0.8167,0.982
13:40:20:0440,0.1263,0.5304,0.8155,0.981
13:40:20:0460,0.1275,0.5299,0.8169,0.982
13:40:20:0480,0.1285,0.5309,0.8181,0.984
13:40:20:0509,0.1300,0.5321,0.8179,0.984
13:40:20:0530,0.1305,0.5323,0.8184,0.985
13:40:20:0560,0.1297,0.5323,0.8199,0.986
13:40:20:0590,0.1302,0.5340,0.8191,0.986
13:40:20:0610,0.1300,0.5353,0.8189,0.987
13:40:20:0630,0.1285,0.5362,0.8211,0.989
13:40:20:0660,0.1285,0.5370,0.8218,0.990
13:40:20:0680,0.1297,0.5377,0.8238,0.992
13:40:20:0700,0.1295,0.5382,0.8282,0.996
13:40:20:0740,0.1283,0.5372,0.8296,0.997
13:40:20:0760,0.1309,0.5353,0.8279,0.995
13:40:20:0780,0.1353,0.5343,0.8257,0.993
13:40:20:0800,0.1388,0.5350,0.8245,0.993
13:40:20:0830,0.1419,0.5382,0.8238,0.994
13:40:20:0850,0.1446,0.5404,0.8225,0.995
13:40:20:0869,0.1476,0.5401,0.8213,0.994
13:40:20:0900,0.1480,0.5404,0.8203,0.993
13:40:20:0930,0.1456,0.5401,0.8196,0.992
13:40:20:0950,0.1432,0.5399,0.8206,0.993
13:40:20:0970,0.1405,0.5406,0.8223,0.994
13:40:20:1000,0.1368,0.5406,0.8247,0.996
13:40:20:1019,0.1331,0.5409,0.8265,0.997
13:40:20:1040,0.1292,0.5404,0.8267,0.996
13:40:20:1080,0.1270,0.5372,0.8245,0.992
13:40:20:1090,0.1268,0.5333,0.8196,0.986
13:40:20:1120,0.1275,0.5309,0.8137,0.980
13:40:20:1140,0.1295,0.5296,0.8084,0.975
13:40:20:1160,0.1324,0.5304,0.8072,0.975
13:40:20:1190,0.1336,0.5331,0.8101,0.979
13:40:20:1220,0.1324,0.5345,0.8155,0.984
13:40:20:1250,0.1273,0.5362,0.8213,0.989
13:40:20:1260,0.1226,0.5379,0.8279,0.995
13:40:20:1290,0.1229,0.5382,0.8321,0.999
13:40:20:1310,0.1253,0.5379,0.8301,0.997
13:40:20:1340,0.1287,0.5362,0.8272,0.994
13:40:20:1360,0.1322,0.5348,0.8245,0.992
13:40:20:1380,0.1346,0.5328,0.8243,0.991
13:40:20:1429,0.1366,0.5304,0.8267,0.992
13:40:20:1440,0.1366,0.5284,0.8304,0.994
13:40:20:1460,0.1358,0.5262,0.8343,0.996
13:40:20:1480,0.1341,0.5245,0.8372,0.997
13:40:20:1500,0.1314,0.5238,0.8399,0.999
13:40:20:1530,0.1258,0.5223,0.8516,1.007
13:40:20:1550,0.1212,0.5216,0.8651,1.017
13:40:20:1580,0.1209,0.5201,0.8663,1.018
13:40:20:1600,0.1204,0.5157,0.8594,1.009
13:40:20:1630,0.1195,0.5111,0.8475,0.997
13:40:20:1650,0.1192,0.5086,0.8367,0.986
