time,gFx,gFy,gFz,TgF
13:45:34:3479,0.2807,0.0733,1.0297,1.070
13:45:34:3510,0.2836,0.0774,1.0060,1.048
13:45:34:3540,0.2907,0.0752,0.9901,1.035
13:45:34:3560,0.2946,0.0718,0.9879,1.033
13:45:34:3580,0.2939,0.0682,0.9979,1.043
13:45:34:3600,0.2929,0.0611,1.0045,1.048
13:45:34:3630,0.2905,0.0520,1.0141,1.056
13:45:34:3650,0.2814,0.0425,1.0341,1.073
13:45:34:3670,0.2704,0.0340,1.0502,1.085
13:45:34:3690,0.2612,0.0264,1.0620,1.094
13:45:34:3740,0.2482,0.0198,1.0747,1.103
13:45:34:3740,0.2326,0.0164,1.0822,1.107
13:45:34:3770,0.2179,0.0176,1.0908,1.112
13:45:34:3790,0.2062,0.0213,1.0991,1.118
13:45:34:3820,0.1949,0.0271,1.0932,1.111
13:45:34:3840,0.1810,0.0325,1.0935,1.109
13:45:34:3860,0.1715,0.0381,1.0947,1.109
13:45:34:3910,0.1588,0.0445,1.0781,1.091
13:45:34:3910,0.1397,0.0481,1.0556,1.066
13:45:34:3940,0.1136,0.0498,1.0558,1.063
13:45:34:3960,0.0814,0.0489,1.0705,1.075
13:45:34:3990,0.0530,0.0484,1.0649,1.067
13:45:34:4010,0.0298,0.0513,1.0407,1.042
13:45:34:4040,0.0110,0.0545,1.0153,1.017
13:45:34:4060,-0.0007,0.0545,1.0006,1.002
13:45:34:4089,-0.0044,0.0562,0.9884,0.990
13:45:34:4110,0.0000,0.0606,0.9740,0.976
13:45:34:4130,0.0088,0.0657,0.9623,0.965
13:45:34:4160,0.0164,0.0726,0.9442,0.947
13:45:34:4180,0.0254,0.0765,0.9244,0.928
13:45:34:4200,0.0396,0.0799,0.9058,0.910
13:45:34:4230,0.0535,0.0860,0.8878,0.894
13:45:34:4260,0.0633,0.0884,0.8682,0.875
13:45:34:4280,0.0760,0.0899,0.8453,0.853
13:45:34:4300,0.0899,0.0933,0.8262,0.836
13:45:34:4330,0.1077,0.0941,0.7693,0.782
13:45:34:4350,0.1427,0.0977,0.6806,0.702
13:45:34:4390,0.1866,0.1009,0.6852,0.717
13:45:34:4400,0.2350,0.0989,0.7527,0.795
13:45:34:4420,0.2783,0.0958,0.7661,0.821
13:45:34:4450,0.3063,0.0941,0.7427,0.809
13:45:34:4470,0.3259,0.0931,0.7297,0.805
13:45:34:4500,0.3454,0.0941,0.7414,0.823
13:45:34:4520,0.3938,0.1028,0.7322,0.838
13:45:34:4560,0.4861,0.1248,0.6706,0.838
13:45:34:4580,0.5866,0.1568,0.6095,0.860
13:45:34:4600,0.6569,0.1874,0.6015,0.910
13:45:34:4630,0.6848,0.2074,0.6178,0.945
13:45:34:4640,0.6745,0.2182,0.6215,0.943
13:45:34:4670,0.6471,0.2223,0.6227,0.925
13:45:34:4700,0.6137,0.2172,0.6425,0.915
13:45:34:4750,0.5719,0.2064,0.6936,0.922
13:45:34:4750,0.5091,0.1935,0.7681,0.942
13:45:34:4770,0.4265,0.1764,0.8401,0.959
13:45:34:4790,0.3405,0.1542,0.9029,0.977
13:45:34:4810,0.2636,0.1339,0.9677,1.012
13:45:34:4840,0.1967,0.1170,1.0243,1.050
13:45:34:4860,0.1400,0.1050,1.0580,1.072
13:45:34:4890,0.0955,0.1014,1.0742,1.083
13:45:34:4910,0.0616,0.1038,1.0783,1.085
13:45:34:4930,0.0391,0.1129,1.0781,1.085
13:45:34:4960,0.0237,0.1256,1.0751,1.083
13:45:34:4980,0.0142,0.1400,1.0734,1.083
13:45:34:5000,0.0093,0.1537,1.0695,1.081
13:45:34:5030,0.0073,0.1632,1.0451,1.058
13:45:34:5060,0.0076,0.1695,1.0214,1.035
13:45:34:5080,0.0054,0.1756,1.0045,1.020
13:45:34:5110,0.0027,0.1764,0.9830,0.999
13:45:34:5130,0.0034,0.1744,0.9725,0.988
13:45:34:5150,0.0059,0.1769,0.9721,0.988
13:45:34:5180,0.0064,0.1786,0.9635,0.980
13:45:34:5210,0.0061,0.1788,0.9471,0.964
13:45:34:5230,0.0051,0.1783,0.9401,0.957
13:45:34:5250,0.0017,0.1778,0.9361,0.953
13:45:34:5270,-0.0002,0.1805,0.9278,0.945
13:45:34:5300,-0.0027,0.1854,0.9234,0.942
13:45:34:5320,-0.0056,0.1913,0.9298,0.949
13:45:34:5350,-0.0095,0.1976,0.9315,0.952
13:45:34:5370,-0.0151,0.2047,0.9242,0.947
13:45:34:5400,-0.0215,0.2108,0.9215,0.946
13:45:34:5420,-0.0291,0.2140,0.9186,0.944
13:45:34:5440,-0.0371,0.2172,0.9056,0.932
13:45:34:5470,-0.0442,0.2221,0.8914,0.920
13:45:34:5490,-0.0515,0.2265,0.8922,0.922
13:45:34:5510,-0.0567,0.2294,0.8917,0.922
13:45:34:5540,-0.0567,0.2323,0.8846,0.916
13:45:34:5570,-0.0557,0.2362,0.8890,0.922
13:45:34:5590,-0.0557,0.2411,0.9037,0.937
13:45:34:5610,-0.0545,0.2453,0.9173,0.951
13:45:34:5639,-0.0533,0.2484,0.9273,0.962
13:45:34:5659,-0.0523,0.2487,0.9359,0.970
13:45:34:5689,-0.0501,0.2489,0.9420,0.976
13:45:34:5750,-0.0474,0.2489,0.9447,0.978
13:45:34:5770,-0.0457,0.2480,0.9479,0.981
13:45:34:5770,-0.0459,0.2463,0.9493,0.982
13:45:34:5790,-0.0435,0.2428,0.9484,0.980
13:45:34:5810,-0.0391,0.2416,0.9457,0.977
13:45:34:5840,-0.0364,0.2392,0.9435,0.974
13:45:34:5860,-0.0337,0.2357,0.9435,0.973
13:45:34:5900,-0.0286,0.2333,0.9493,0.978
13:45:34:5940,-0.0217,0.2316,0.9613,0.989
13:45:34:5950,-0.0134,0.2313,0.9691,0.996
13:45:34:5960,-0.0046,0.2318,0.9752,1.002
13:45:34:5980,0.0034,0.2323,0.9818,1.009
13:45:34:6000,0.0103,0.2316,0.9862,1.013
13:45:34:6020,0.0149,0.2313,0.9887,1.015
13:45:34:6060,0.0205,0.2304,0.9855,1.012
13:45:34:6080,0.0242,0.2277,0.9813,1.008
13:45:34:6100,0.0247,0.2260,0.9801,1.006
13:45:34:6120,0.0247,0.2233,0.9786,1.004
13:45:34:6140,0.0269,0.2213,0.9743,0.999
13:45:34:6170,0.0308,0.2206,0.9645,0.990
13:45:34:6190,0.0318,0.2179,0.9606,0.985
13:45:34:6230,0.0278,0.2145,0.9581,0.982
13:45:34:6240,0.0208,0.2101,0.9471,0.970
